date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,goal_diff,result,home_win,average_age,average_caps,fifa_ranking,recent_tournament_score
1990-09-15,United States,Trinidad and Tobago,3.0,0.0,Friendly,High Point,United States,False,3.0,1,1,25.5,30.0,18,5.0
1990-09-23,South Korea,Singapore,7.0,0.0,Asian Games,Beijing,China,True,7.0,1,1,27.5,30.0,24,5.0
1990-09-24,Iran,Malaysia,3.0,0.0,Asian Games,Beijing,China,True,3.0,1,1,28.5,30.0,22,5.0
1990-09-24,Saudi Arabia,Bangladesh,4.0,0.0,Asian Games,Beijing,China,True,4.0,1,1,27.8,30.0,39,5.0
1990-09-26,Italy,Netherlands,1.0,0.0,Friendly,Palermo,Italy,False,1.0,1,1,26.9,30.0,15,5.0
1990-09-26,Sweden,Bulgaria,2.0,0.0,Friendly,Solna,Sweden,False,2.0,1,1,27.4,55.0,10,9.5
1990-09-28,Japan,Saudi Arabia,0.0,2.0,Asian Games,Beijing,China,True,-2.0,-1,0,27.0,30.0,21,5.0
1990-10-01,South Korea,Kuwait,1.0,0.0,Asian Games,Beijing,China,True,1.0,1,1,27.5,30.0,24,5.0
1990-10-01,Iran,Japan,1.0,0.0,Asian Games,Beijing,China,True,1.0,1,1,28.5,30.0,22,5.0
1990-10-01,Saudi Arabia,North Korea,0.0,0.0,Asian Games,Beijing,China,True,0.0,0,0,27.8,30.0,39,5.0
1990-10-03,South Korea,Iran,0.0,1.0,Asian Games,Beijing,China,True,-1.0,-1,0,27.5,30.0,24,5.0
1990-10-05,South Korea,Thailand,1.0,0.0,Asian Games,Beijing,China,True,1.0,1,1,27.5,30.0,24,5.0
1990-10-06,Iran,North Korea,0.0,0.0,Asian Games,Beijing,China,True,0.0,0,0,28.5,30.0,22,5.0
1990-10-10,Denmark,Faroe Islands,4.0,1.0,UEFA Euro qualification,Copenhagen,Denmark,False,3.0,1,1,27.9,30.0,23,5.0
1990-10-10,Norway,Hungary,0.0,0.0,UEFA Euro qualification,Bergen,Norway,False,0.0,0,0,26.5,55.0,11,9.5
1990-10-10,Poland,United States,2.0,3.0,Friendly,Warsaw,Poland,False,-1.0,-1,0,28.0,30.0,28,5.0
1990-10-10,Spain,Iceland,2.0,1.0,UEFA Euro qualification,Seville,Spain,False,1.0,1,1,26.5,60.0,3,9.8
1990-10-10,Sweden,Germany,1.0,3.0,Friendly,Solna,Sweden,False,-2.0,-1,0,27.4,55.0,10,9.5
1990-10-13,France,Czechoslovakia,2.0,1.0,UEFA Euro qualification,Paris,France,False,1.0,1,1,26.8,60.0,2,10.0
